Entity,Code,Year,Solar_Generation_TWh
Australia,AUS,2010,0.97764828
Australia,AUS,2011,2.04454657
Australia,AUS,2012,2.412
Australia,AUS,2013,3.8474
Australia,AUS,2014,4.952
Australia,AUS,2015,5.958
Australia,AUS,2016,7.474595
Australia,AUS,2017,8.95511
Australia,AUS,2018,12.081099
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0.001
Austria,AUT,1994,0.001
Austria,AUT,1995,0.001
Austria,AUT,1996,0.001
Austria,AUT,1997,0.002
Austria,AUT,1998,0.002
Austria,AUT,1999,0.002
Austria,AUT,2000,0.003
Austria,AUT,2001,0.005
Austria,AUT,2002,0.009
Austria,AUT,2003,0.015
Austria,AUT,2004,0.018
Austria,AUT,2005,0.021018375
Austria,AUT,2006,0.022386875
Austria,AUT,2007,0.024238375
Austria,AUT,2008,0.03011991
Austria,AUT,2009,0.04891428
Austria,AUT,2010,0.08881314
Austria,AUT,2011,0.17406996
Austria,AUT,2012,0.33748305
Austria,AUT,2013,0.625974
Austria,AUT,2014,0.785246
Austria,AUT,2015,0.937098
Austria,AUT,2016,1.096016
Austria,AUT,2017,1.268971
Austria,AUT,2018,1.578641473
Azerbaijan,AZE,1985,0
Azerbaijan,AZE,1986,0
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,0
Azerbaijan,AZE,1989,0
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0
Azerbaijan,AZE,2010,0
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0.0008
Azerbaijan,AZE,2014,0.0029
Azerbaijan,AZE,2015,0.0046
Azerbaijan,AZE,2016,0.0353
Azerbaijan,AZE,2017,0.0372
Azerbaijan,AZE,2018,0.03926
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0.0001
Bangladesh,BGD,2003,0.0009
Bangladesh,BGD,2004,0.0019
Bangladesh,BGD,2005,0.0034
Bangladesh,BGD,2006,0.0054
Bangladesh,BGD,2007,0.009
Bangladesh,BGD,2008,0.0152
Bangladesh,BGD,2009,0.0251
Bangladesh,BGD,2010,0.0443
Bangladesh,BGD,2011,0.0584
Bangladesh,BGD,2012,0.0909
Bangladesh,BGD,2013,0.1296
Bangladesh,BGD,2014,0.1676
Bangladesh,BGD,2015,0.2044
Bangladesh,BGD,2016,0.2243
Bangladesh,BGD,2017,0.265005663
Bangladesh,BGD,2018,0.299208359
Belarus,BLR,1985,0
Belarus,BLR,1986,0
Belarus,BLR,1987,0
Belarus,BLR,1988,0
Belarus,BLR,1989,0
Belarus,BLR,1990,0
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0
Belarus,BLR,1994,0
Belarus,BLR,1995,0
Belarus,BLR,1996,0
Belarus,BLR,1997,0
Belarus,BLR,1998,0
Belarus,BLR,1999,0
Belarus,BLR,2000,0
Belarus,BLR,2001,0
Belarus,BLR,2002,0
Belarus,BLR,2003,0
Belarus,BLR,2004,0
Belarus,BLR,2005,0
Belarus,BLR,2006,0
Belarus,BLR,2007,0
Belarus,BLR,2008,0
Belarus,BLR,2009,0
Belarus,BLR,2010,0
Belarus,BLR,2011,0
Belarus,BLR,2012,0
Belarus,BLR,2013,0.0004
Belarus,BLR,2014,0.002
Belarus,BLR,2015,0.009
Belarus,BLR,2016,0.026
Belarus,BLR,2017,0.089
Belarus,BLR,2018,0.134485968
Belgium,BEL,1965,0
Belgium,BEL,1966,0
Belgium,BEL,1967,0
Belgium,BEL,1968,0
Belgium,BEL,1969,0
Belgium,BEL,1970,0
Belgium,BEL,1971,0
Belgium,BEL,1972,0
Belgium,BEL,1973,0
Belgium,BEL,1974,0
Belgium,BEL,1975,0
Belgium,BEL,1976,0
Belgium,BEL,1977,0
Belgium,BEL,1978,0
Belgium,BEL,1979,0
Belgium,BEL,1980,0
Belgium,BEL,1981,0
Belgium,BEL,1982,0
Belgium,BEL,1983,0
Belgium,BEL,1984,0
Belgium,BEL,1985,0
Belgium,BEL,1986,0
Belgium,BEL,1987,0
Belgium,BEL,1988,0
Belgium,BEL,1989,0
Belgium,BEL,1990,0
Belgium,BEL,1991,0
Belgium,BEL,1992,0
Belgium,BEL,1993,0
Belgium,BEL,1994,0
Belgium,BEL,1995,0
Belgium,BEL,1996,0
Belgium,BEL,1997,0
Belgium,BEL,1998,0
Belgium,BEL,1999,0
Belgium,BEL,2000,0
Belgium,BEL,2001,0
Belgium,BEL,2002,0
Belgium,BEL,2003,0
Belgium,BEL,2004,0.001
Belgium,BEL,2005,0.001
Belgium,BEL,2006,0.002
Belgium,BEL,2007,0.006
Belgium,BEL,2008,0.042
Belgium,BEL,2009,0.166
Belgium,BEL,2010,0.56
Belgium,BEL,2011,1.169
Belgium,BEL,2012,2.148
Belgium,BEL,2013,2.644
Belgium,BEL,2014,2.883
Belgium,BEL,2015,3.053
Belgium,BEL,2016,3.092
Belgium,BEL,2017,3.2876
Belgium,BEL,2018,3.971724224
Brazil,BRA,1965,0
Brazil,BRA,1966,0
Brazil,BRA,1967,0
Brazil,BRA,1968,0
Brazil,BRA,1969,0
Brazil,BRA,1970,0
Brazil,BRA,1971,0
Brazil,BRA,1972,0
Brazil,BRA,1973,0
Brazil,BRA,1974,0
Brazil,BRA,1975,0
Brazil,BRA,1976,0
Brazil,BRA,1977,0
Brazil,BRA,1978,0
Brazil,BRA,1979,0
Brazil,BRA,1980,0
Brazil,BRA,1981,0
Brazil,BRA,1982,0
Brazil,BRA,1983,0
Brazil,BRA,1984,0
Brazil,BRA,1985,0
Brazil,BRA,1986,0
Brazil,BRA,1987,0
Brazil,BRA,1988,0
Brazil,BRA,1989,0
Brazil,BRA,1990,0
Brazil,BRA,1991,0
Brazil,BRA,1992,0
Brazil,BRA,1993,0
Brazil,BRA,1994,0
Brazil,BRA,1995,0
Brazil,BRA,1996,0
Brazil,BRA,1997,0
Brazil,BRA,1998,0
Brazil,BRA,1999,0
Brazil,BRA,2000,0
Brazil,BRA,2001,0
Brazil,BRA,2002,0
Brazil,BRA,2003,0
Brazil,BRA,2004,0
Brazil,BRA,2005,0
Brazil,BRA,2006,0
Brazil,BRA,2007,0
Brazil,BRA,2008,0
Brazil,BRA,2009,0
Brazil,BRA,2010,0
Brazil,BRA,2011,0
Brazil,BRA,2012,0.00098
Brazil,BRA,2013,0.004793593
Brazil,BRA,2014,0.016081802
Brazil,BRA,2015,0.058917412
Brazil,BRA,2016,0.085260592
Brazil,BRA,2017,0.831813401
Brazil,BRA,2018,3.137078404
Bulgaria,BGR,1965,0
Bulgaria,BGR,1966,0
Bulgaria,BGR,1967,0
Bulgaria,BGR,1968,0
Bulgaria,BGR,1969,0
Bulgaria,BGR,1970,0
Bulgaria,BGR,1971,0
Bulgaria,BGR,1972,0
Bulgaria,BGR,1973,0
Bulgaria,BGR,1974,0
Bulgaria,BGR,1975,0
Bulgaria,BGR,1976,0
Bulgaria,BGR,1977,0
Bulgaria,BGR,1978,0
Bulgaria,BGR,1979,0
Bulgaria,BGR,1980,0
Bulgaria,BGR,1981,0
Bulgaria,BGR,1982,0
Bulgaria,BGR,1983,0
Bulgaria,BGR,1984,0
Bulgaria,BGR,1985,0
Bulgaria,BGR,1986,0
Bulgaria,BGR,1987,0
Bulgaria,BGR,1988,0
Bulgaria,BGR,1989,0
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,0
Bulgaria,BGR,1994,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2006,0
Bulgaria,BGR,2007,0
Bulgaria,BGR,2008,0
Bulgaria,BGR,2009,0.003
Bulgaria,BGR,2010,0.015
Bulgaria,BGR,2011,0.101
Bulgaria,BGR,2012,0.814
Bulgaria,BGR,2013,1.361
Bulgaria,BGR,2014,1.252
Bulgaria,BGR,2015,1.383
Bulgaria,BGR,2016,1.386
Bulgaria,BGR,2017,1.402965
Bulgaria,BGR,2018,1.103538835
CIS,,1965,0
CIS,,1966,0
CIS,,1967,0
CIS,,1968,0
CIS,,1969,0
CIS,,1970,0
CIS,,1971,0
CIS,,1972,0
CIS,,1973,0
CIS,,1974,0
CIS,,1975,0
CIS,,1976,0
CIS,,1977,0
CIS,,1978,0
CIS,,1979,0
CIS,,1980,0
CIS,,1981,0
CIS,,1982,0
CIS,,1983,0
CIS,,1984,0
CIS,,1985,0
CIS,,1986,0
CIS,,1987,0
CIS,,1988,0
CIS,,1989,0
CIS,,1990,0
CIS,,1991,0
CIS,,1992,0
CIS,,1993,0
CIS,,1994,0
CIS,,1995,0
CIS,,1996,0
CIS,,1997,0
CIS,,1998,0
CIS,,1999,0
CIS,,2000,0
CIS,,2001,0
CIS,,2002,0
CIS,,2003,0
CIS,,2004,0
CIS,,2005,0
CIS,,2006,0
CIS,,2007,0
CIS,,2008,0
CIS,,2009,0.000007375
CIS,,2010,0.000240125
CIS,,2011,0.00182275
CIS,,2012,0.006337759
CIS,,2013,0.0188439
CIS,,2014,0.17737725
CIS,,2015,0.41103975
CIS,,2016,0.635749874
CIS,,2017,0.76729925
CIS,,2018,0.881300118
Canada,CAN,1965,0
Canada,CAN,1966,0
Canada,CAN,1967,0
Canada,CAN,1968,0
Canada,CAN,1969,0
Canada,CAN,1970,0
Canada,CAN,1971,0
Canada,CAN,1972,0
Canada,CAN,1973,0
Canada,CAN,1974,0
Canada,CAN,1975,0
Canada,CAN,1976,0
Canada,CAN,1977,0
Canada,CAN,1978,0
Canada,CAN,1979,0
Canada,CAN,1980,0
Canada,CAN,1981,0
Canada,CAN,1982,0
Canada,CAN,1983,0
Canada,CAN,1984,0
Canada,CAN,1985,0
Canada,CAN,1986,0
Canada,CAN,1987,0
Canada,CAN,1988,0
Canada,CAN,1989,0
Canada,CAN,1990,0
Canada,CAN,1991,0
Canada,CAN,1992,0.002052632
Canada,CAN,1993,0.002052632
Canada,CAN,1994,0.002052632
Canada,CAN,1995,0.003842105
Canada,CAN,1996,0.005894737
Canada,CAN,1997,0.006947368
Canada,CAN,1998,0.010105263
Canada,CAN,1999,0.013263158
Canada,CAN,2000,0.016421053
Canada,CAN,2001,0.019578947
Canada,CAN,2002,0.022736842
Canada,CAN,2003,0.022789474
Canada,CAN,2004,0.014263158
Canada,CAN,2005,0.018473684
Canada,CAN,2006,0.022684211
Canada,CAN,2007,0.028947368
Canada,CAN,2008,0.035421053
Canada,CAN,2009,0.1093
Canada,CAN,2010,0.2542
Canada,CAN,2011,0.5716
Canada,CAN,2012,0.881
Canada,CAN,2013,1.4988
Canada,CAN,2014,2.1198
Canada,CAN,2015,2.895
Canada,CAN,2016,3.031314141
Canada,CAN,2017,3.29219899
Canada,CAN,2018,3.5462509
Central America,,1965,0
Central America,,1966,0
Central America,,1967,0
Central America,,1968,0
Central America,,1969,0
Central America,,1970,0
Central America,,1971,0
Central America,,1972,0
Central America,,1973,0
Central America,,1974,0
Central America,,1975,0
Central America,,1976,0
Central America,,1977,0
Central America,,1978,0
Central America,,1979,0
Central America,,1980,0
Central America,,1981,0
Central America,,1982,0
Central America,,1983,0
Central America,,1984,0
Central America,,1985,0
Central America,,1986,0
Central America,,1987,0
Central America,,1988,0
Central America,,1989,0
Central America,,1990,0
Central America,,1991,0
Central America,,1992,0
Central America,,1993,0
Central America,,1994,0
Central America,,1995,0
Central America,,1996,0
Central America,,1997,0
Central America,,1998,0
Central America,,1999,0
Central America,,2000,0
Central America,,2001,0.0001
Central America,,2002,0.0001
Central America,,2003,0.0002
Central America,,2004,0.0002
Central America,,2005,0.000677778
Central America,,2006,0.000677778
Central America,,2007,0.000777778
Central America,,2008,0.000977778
Central America,,2009,0.001077778
Central America,,2010,0.001177778
Central America,,2011,0.001655556
Central America,,2012,0.003896889
Central America,,2013,0.005043459
Central America,,2014,0.015794872
Central America,,2015,0.59981298
Central America,,2016,1.182041959
Central America,,2017,1.396269673
Central America,,2018,1.885503314
Chile,CHL,1965,0
Chile,CHL,1966,0
Chile,CHL,1967,0
Chile,CHL,1968,0
Chile,CHL,1969,0
Chile,CHL,1970,0
Chile,CHL,1971,0
Chile,CHL,1972,0
Chile,CHL,1973,0
Chile,CHL,1974,0
Chile,CHL,1975,0
Chile,CHL,1976,0
Chile,CHL,1977,0
Chile,CHL,1978,0
Chile,CHL,1979,0
Chile,CHL,1980,0
Chile,CHL,1981,0
Chile,CHL,1982,0
Chile,CHL,1983,0
Chile,CHL,1984,0
Chile,CHL,1985,0
Chile,CHL,1986,0
Chile,CHL,1987,0
Chile,CHL,1988,0
Chile,CHL,1989,0
Chile,CHL,1990,0
Chile,CHL,1991,0
Chile,CHL,1992,0
Chile,CHL,1993,0
Chile,CHL,1994,0
Chile,CHL,1995,0
Chile,CHL,1996,0
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0
Chile,CHL,2002,0
Chile,CHL,2003,0
Chile,CHL,2004,0
Chile,CHL,2005,0
Chile,CHL,2006,0
Chile,CHL,2007,0
Chile,CHL,2008,0
Chile,CHL,2009,0
Chile,CHL,2010,0
Chile,CHL,2011,0
Chile,CHL,2012,0.00034039
Chile,CHL,2013,0.00675656
Chile,CHL,2014,0.48954159
Chile,CHL,2015,1.26108742
Chile,CHL,2016,2.638839211
Chile,CHL,2017,3.895948315
Chile,CHL,2018,5.118720829
China,CHN,1965,0
China,CHN,1966,0
China,CHN,1967,0
China,CHN,1968,0
China,CHN,1969,0
China,CHN,1970,0
China,CHN,1971,0
China,CHN,1972,0
China,CHN,1973,0
China,CHN,1974,0
China,CHN,1975,0
China,CHN,1976,0
China,CHN,1977,0
China,CHN,1978,0
China,CHN,1979,0
China,CHN,1980,0
China,CHN,1981,0
China,CHN,1982,0
China,CHN,1983,0
China,CHN,1984,0
China,CHN,1985,0
China,CHN,1986,0
China,CHN,1987,0
China,CHN,1988,0
China,CHN,1989,0
China,CHN,1990,0.002
China,CHN,1991,0.002
China,CHN,1992,0.003
China,CHN,1993,0.004
China,CHN,1994,0.005
China,CHN,1995,0.007
China,CHN,1996,0.009
China,CHN,1997,0.011
China,CHN,1998,0.014
China,CHN,1999,0.017
China,CHN,2000,0.022
China,CHN,2001,0.031
China,CHN,2002,0.048
China,CHN,2003,0.064
China,CHN,2004,0.076
China,CHN,2005,0.084
China,CHN,2006,0.095
China,CHN,2007,0.114
China,CHN,2008,0.152
China,CHN,2009,0.279
China,CHN,2010,0.701
China,CHN,2011,2.61
China,CHN,2012,3.5945099
China,CHN,2013,8.3738865
China,CHN,2014,23.51215664
China,CHN,2015,43.56
China,CHN,2016,61.686
China,CHN,2017,117.8
China,CHN,2018,177.5
Colombia,COL,1965,0
Colombia,COL,1966,0
Colombia,COL,1967,0
Colombia,COL,1968,0
Colombia,COL,1969,0
Colombia,COL,1970,0
Colombia,COL,1971,0
Colombia,COL,1972,0
Colombia,COL,1973,0
Colombia,COL,1974,0
Colombia,COL,1975,0
Colombia,COL,1976,0
Colombia,COL,1977,0
Colombia,COL,1978,0
Colombia,COL,1979,0
Colombia,COL,1980,0
Colombia,COL,1981,0
Colombia,COL,1982,0
Colombia,COL,1983,0
Colombia,COL,1984,0
Colombia,COL,1985,0
Colombia,COL,1986,0
Colombia,COL,1987,0
Colombia,COL,1988,0
Colombia,COL,1989,0
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0
Colombia,COL,1995,0
Colombia,COL,1996,0
Colombia,COL,1997,0
Colombia,COL,1998,0
Colombia,COL,1999,0
Colombia,COL,2000,0.001835014
Colombia,COL,2001,0.00266875
Colombia,COL,2002,0.00465125
Colombia,COL,2003,0.006405
Colombia,COL,2004,0.007951726
Colombia,COL,2005,0.00953125
Colombia,COL,2006,0
Colombia,COL,2007,0
Colombia,COL,2008,0
Colombia,COL,2009,0
Colombia,COL,2010,0
Colombia,COL,2011,0
Colombia,COL,2012,0
Colombia,COL,2013,0
Colombia,COL,2014,0
Colombia,COL,2015,0
Colombia,COL,2016,0
Colombia,COL,2017,0
Colombia,COL,2018,0.011999821
Croatia,HRV,1990,0
Croatia,HRV,1991,0
Croatia,HRV,1992,0
Croatia,HRV,1993,0
Croatia,HRV,1994,0
Croatia,HRV,1995,0
Croatia,HRV,1996,0
Croatia,HRV,1997,0
Croatia,HRV,1998,0
Croatia,HRV,1999,0
Croatia,HRV,2000,0
Croatia,HRV,2001,0
Croatia,HRV,2002,0
Croatia,HRV,2003,0
Croatia,HRV,2004,0
Croatia,HRV,2005,0
Croatia,HRV,2006,0
Croatia,HRV,2007,0
Croatia,HRV,2008,0
Croatia,HRV,2009,0.000016464
Croatia,HRV,2010,0.000016464
Croatia,HRV,2011,0.000016464
Croatia,HRV,2012,0.002
Croatia,HRV,2013,0.011293959
Croatia,HRV,2014,0.035
Croatia,HRV,2015,0.057
Croatia,HRV,2016,0.066
Croatia,HRV,2017,0.0787
Croatia,HRV,2018,0.073591668
Cyprus,CYP,1965,0
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
